Name,Count,score,weak_signal_score,Representation,llm_novelty,llm_severity,llm_topic_label,llm_novelty_reason,llm_severity_reason
213_citrus_juice_marinated_sensory,11,0.4014073627737162,0.7222222222222222,"['citrus', 'juice', 'marinated', 'sensory', 'marinade', 'marinating', 'meat', 'marination', 'beo', 'rhubarb']",2,1,Citrus juice meat marinade sensory,"Research on food marination and sensory effects (including acid marinades like citrus) is well established in food science, though specific combinations or niche ingredients may still be explored.",Primary impacts are on sensory quality and consumer acceptability; direct public-health or environmental harms are minimal and localized (any safety issues relate to standard food-handling practices).
181_sers_imprinted_qcm_spr,13,0.4013504290007724,0.6109693593430994,"['sers', 'imprinted', 'qcm', 'spr', 'ecl', 'cap', 'cofaiecl', 'aptasensor', 'signal', 'detection']",3,2,Surface and aptamer-based biosensors,"The keywords describe well-established analytical platforms (SERS, SPR, QCM, ECL) and approaches (molecular imprinting, aptasensors) that are actively evolving but not brand-new; the small document count suggests a niche or specific application focus rather than a wholly novel scientific frontier.","This is primarily a detection/monitoring technology topic; failures or gaps could lead to missed contaminant detections with localized or sector-specific impacts, but are unlikely to cause widespread catastrophic harm on their own."
291_hets_alsub2subosub3sub_cuonps_nanosilver,8,0.2738421053819929,0.5712812574743316,"['hets', 'alsub2subosub3sub', 'cuonps', 'nanosilver', 'extracellular', 'nanosilverinduced', 'nets', 'formation', 'nanocu', 'release']",4,3,Nanoparticle-induced NETs formation,"The topic combines specific engineered nanoparticles (nanosilver, nano-Cu/ CuO, possibly Al2O3) with immune outcome keywords (NETs/NETosis), which is an emerging niche in nano-immunotoxicology. Relatively few documents (n=8) and a moderate weak-signal score suggest limited, weakly institutionalized literature rather than a well-established regulatory area.","If nanoparticle-induced neutrophil extracellular trap formation is widespread, it could drive inflammatory tissue damage, thrombosis or impaired host responses — meaningful health impacts. However current evidence and likely exposure pathways are limited, so population-level harm is moderate rather than systemic at present."
382_haploid_dh_colchicine_hmf,6,0.2005887617390316,0.5000086894917406,"['haploid', 'dh', 'colchicine', 'hmf', 'doubling', 'landrace', 'capture', 'hff', 'haploids', 'ptx']",2,2,Colchicine-induced doubled haploids,"Doubled-haploid production and colchicine-induced chromosome doubling are well-established plant-breeding techniques with substantial prior literature and regulatory awareness. The presence of terms like HMF and landrace suggests specific, evolving applications rather than a completely new technique.",Colchicine is a toxic mitotic inhibitor so occupational and local environmental exposure during DH production is a real but contained hazard; broader ecological or public-health impacts are unlikely. Potential downstream effects on genetic diversity from intensive DH use are plausible but generally manageable.
347_dandelion_broth_uvbinduced_fermentation,7,0.2175776917291705,0.4867515929740285,"['dandelion', 'broth', 'uvbinduced', 'fermentation', 'skin', 'skincare', 'masks', 'ingredients', 'hacat', 'irritation']",4,2,UVB-induced dandelion skin fermentation,"The combination of dandelion extracts, UVB-induced transformation and fermentation for topical cosmetics is niche and sparsely represented (only a few documents). The specific workflow (UVB-triggered fermentation and testing on HaCaT cells) appears emergent rather than well established in regulatory or scientific literature.","Potential harms are primarily topical (irritation, contact dermatitis or phototoxic reactions) and thus likely limited and reversible for most users, though problematic for sensitive individuals. Widespread severe systemic outcomes are unlikely based on the implied exposure route (skin application)."
245_grain_dp51291_95275_dp915635,10,0.2833398183795533,0.4838172285757957,"['grain', 'dp51291', '95275', 'dp915635', 'diets', 'nontransgenic', 'containing', 'rats', 'pathology', 'fed']",2,3,Rats fed DP-51291/DP-915635 grain,"This appears to be animal feeding/pathology studies of specific genetically modified grain events (DP51291, DP915635) versus non‑transgenic diets — a well‑established regulatory/scientific area, though the particular events may be newer.","If adverse pathology from these grains were confirmed, it could have moderate impacts on animal and potentially human food safety, trade and regulatory decisions; such effects would be significant but are unlikely to be catastrophic."
260_bps_mbp_extraction_canned,9,0.2008217502131337,0.3339221095894447,"['bps', 'mbp', 'extraction', 'canned', 'dese', 'hre', 'dess', 'uae', 'ethanol', 'solvents']",3,3,BPS and MBP extraction from canned food,"Keywords point to analytical method development (UAE, HRE, ethanol, deep eutectic solvents) for detecting BPS and MBP in canned food. These methodological approaches (green solvents, ultrasound) are moderately new in food contaminant analysis but there is an emerging, but not yet extensive, literature.","BPS and phthalates (MBP) are endocrine-disrupting chemicals that can contaminate food via packaging; chronic dietary exposure can have population-level health impacts. However regulatory monitoring exists and effects are typically chronic rather than acute, so impacts are moderate unless exposures are widespread and uncontrolled."
164_lncrnas_de_flhs_poly,14,0.2899553249927972,0.2780660693138249,"['lncrnas', 'de', 'flhs', 'poly', 'fatty', 'mrnas', 'f1', 'h3k27ac', 'hens', 'f0']",4,3,lncRNA epigenetics in hen FLHS,"This appears to be a niche, emerging research area linking lncRNA differential expression and the histone mark H3K27ac to fatty liver hemorrhagic syndrome (FLHS) in hens, including F0/F1 generational effects—limited prior institutional literature and regulatory attention.","Harms are primarily to poultry health, egg production and farm economics with animal welfare implications; direct human health risk is low but economic and production impacts could be notable at industry scale."
159_rhizosphere_2a5_2a7_transgenic,15,0.2817047729292975,0.2019685703456999,"['rhizosphere', '2a5', '2a7', 'transgenic', 'hemoglobin', 'stages', 'diversity', 'bt', 'mcry1ab', 'z58']",3,2,mCry1Ab Bt transgenic maize rhizosphere,"Effects of GM (Bt) crops on rhizosphere microbial communities are an established research area, but this topic combines specific events/lines (2a5, 2a7, Z58) and references to transgenic plant hemoglobin, which is less common and represented by few documents.",Potential adverse outcomes (shifts in soil microbial diversity) are generally localized and reversible and Bt proteins typically degrade in soil; large-scale or systemic harm is unlikely though ecosystem-level changes warrant monitoring.
197_za_solid_bac_144,12,0.2077510761290786,0.1845078424903546,"['za', 'solid', 'bac', '144', 'agents', 'black5', 'sn', 'diphenyl', 'ether', 'lactofen']",4,3,Lactofen and diphenyl-ether residues,"The topic combines niche keywords (lactofen, diphenyl ether) with fragmented/ambiguous tokens (za, black5, sn, solid, bac) and has few documents (≈12), suggesting a weakly institutionalized or emergent research thread rather than a well-established regulatory issue.","Lactofen and other diphenyl‑ether herbicides are known environmental toxicants that can harm non‑target plants and aquatic organisms; combined exposures or co‑contaminants could raise local ecological and health impacts, but the likely scale is moderate rather than systemic."
