Name,dov,Topic,Count,Representation,Representative_Docs
762_butcher_quetta_shops_groceries,0.002993031053271072,762,4,"['butcher', 'quetta', 'shops', 'groceries', 'tempeh', 'klebsiella', 'spp', 'hypermarkets', 'shawarma', 'enteritidis']","['All foods carry microbes, many of which are harmless, but foods can also carry pathogens and/or microbial indicators of contamination. Limited information exists on the co-occurrence of microbes of food safety concern and the factors associated with their presence. Here, a population-based repeated cross-sectional design was used to determine the prevalence and co-occurrence of Escherichia coli, Klebsiella spp., Salmonella spp. and Vibrio spp. in key food commodities - chicken, pork, prawns, salmon and leafy greens. Prevalence in 1,369 food samples for these four target bacterial genera/species varied, while 25.6% of all samples had at least two of the target bacteria and eight different combinations of bacteria were observed as co-occurrence profiles in raw prawns. Imported frozen chicken was 6.4 times more likely to contain Salmonella than domestic chicken, and imported salmon was 5.5 times more likely to be contaminated with E. coli. Seasonality was significantly associated with E. coli and Klebsiella spp. contamination in leafy greens, with higher detection in summer and autumn. Moreover, the odds of Klebsiella spp. contamination were higher in summer in chicken and pork samples. These results provide insight on the bacterial species present on foods at retail, and identify factors associated with the presence of individual bacteria, which are highly relevant for food safety risk assessments and the design of surveillance programmes.', 'Ready-to-eat (RTE) food sold in Quetta, Pakistan was assessed for microbial contamination.\nEqual numbers of samples were collected from four categories of RTE food - burgers, shawarma, pizza and sandwiches - from January 2018 to December 2018. Microbial contamination of individual food samples was assessed by quantifying the total aerobic count obtained from plating samples on bacterial growth medium. Salmonella spp. serovars were identified using polymerase chain reaction.\nApproximately 38% (121/320) of RTE food samples were not fit for human consumption. The most contaminated type of RTE food was shawarma (49%). Microbial contamination of food samples was higher in summer compared with the other seasons. Approximately 40% (49/121) of food samples that were not fit for human consumption were contamined with Salmonella spp. Salmonella enteritidis (69%) and Salmonella typhimurium (31%) were the only serovars among the samples testing positive for Salmonella spp. Of the 49 samples with high microbial counts, S. enteritidis was present in 34 samples and S. typhimurium was present in 15 samples. The antibiotic sensitivity results demonstrated that both S. enteritidis and S. typhimurium were resistant to amoxicillin. In addition, S. enteritidis was resistant to chloramphenicol and erythromycin, and S. typhimurium presented high resistance to erythromycin. Both S. typhimurium and S. enteritidis were highly sensitive to kanamycin.\nRTE food sold by street vendors in Quetta was found to be contaminated with Salmonella spp. and poses a great health risk to consumers. As such, consumption should be avoided, and the health authorities should take stringent action to ensure the quality of street food in order to reduce the healthcare burden.', 'Food-borne pathogens are the leading cause of illness and death in developing countries, killing approximately 1.8 million people annually. In developed countries, food-borne pathogens are responsible for millions of cases of infectious gastrointestinal diseases each year, costing billions of dollars. The objective of this study was to screen for two major food-borne pathogens, Escherichia coli and Salmonella spp., from meat samples obtained from different strata of the consumer market in Jeddah.\nA total of 60 meat samples, 20 each from large hypermarkets, groceries and small butcher shops were used in the study. Samples were transported to the laboratory in a cooler. They were macerated in peptone water and then seeded on selective media appropriate for each organism. Colonies were identified using conventional microbiological methods and suspected colonies were confirmed as E. coli and Salmonella spp. by polymerase chain reaction (PCR) using specific primers.\nThe results indicated a high degree of contamination in samples from butcher shops as compared to those from groceries or hypermarkets (high scale supermarkets). Both pathogens E. coli and Salmonella spp. were found in higher rates in the samples from butcher shops. In small butcher shops, E. coli was found at an incidence of 65%, and Salmonella at 45%.\nThe results indicate an urgent need for applying proper food hygienic practices in food outlets, especially in small ones, to reduce the incidence of food-borne diseases. Vigilance by the right agencies must be implemented in order to prevent future food-borne outbreaks.']"
901_vitamin_fortification_arich_ofsp,0.0026153981618760296,901,3,"['vitamin', 'fortification', 'arich', 'ofsp', 'excessive', 'micronutrient', 'maternal', 'vad', 'lmic', 'biofortified']","['Recent recognition of the early onset and high prevalence of wasting (30%) and stunting (20%) among infants 0-5 months in India draws attention to the need to understand the causes and develop prevention strategies. Such growth failure has dire consequences in the short (increased mortality) and long-term (loss of human capital and increased risk of chronic diseases). Food interventions before 6 months will increase morbidity/mortality through contamination in settings of poor sanitation and hygiene. Waiting to improve nutrition only after the initiation of complementary feeding at 6 months is a missed opportunity and may permanently alter life trajectory and potential. This underscores the importance of maternal nutrition. Iron and folic acid and protein energy supplementation during pregnancy are interventions that can improve maternal nutrition and birth outcomes. Maternal supplementation during lactation should be considered as a means to improve maternal and child outcomes, although the evidence needs strengthening. Support and counseling are also required to improve maternal diets and promote exclusive breastfeeding. Programs focused on improving maternal nutrition across the continuum of preconception, pregnancy and lactation are likely to have the greatest impact as mothers are central gatekeepers to the health and future of their children.', 'Vitamin A deficiency (VAD) has serious public health consequences including morbidity and mortality for populations in low and middle-income countries (LMICs), especially for children under 5 years and pregnant women. LMICs are at greater risk of VAD, in part due to low levels of consumption of vitamin A-rich foods most of which are plant-based, such as orange-fleshed sweet potatoes (OFSP), with lower bioavailability than animal sources of the vitamin A. Food-based approaches such as biofortification of OFSP, including promoting the consumption of vitamin A-rich biofortified staple crops, has been shown to be potentially effective in improving the status of vitamin A and other micronutrients. This study examined vitamin A-rich food consumption and its predictors among women of reproductive age from OFSP-growing households in two regions of Uganda.\nA cross-sectional survey was conducted among 617 OFSP growing households, focusing on women in the reproductive age group from the northern and eastern regions of Uganda. Households were not receiving any VAD-related intervention at the time of the survey. Quantitative data included vitamin A-rich food consumption, knowledge on vitamin A, and rich food sources dietary intake, using a 7-day food frequency questionnaire. Vitamin A consumption and risk of deficiency were estimated using the Hellen Keller International guide.\nThe majority of women in this study were either pregnant (80%) or lactating (17%). More than 70% of the study population had a weighted vitamin A rich food consumption mean score of <6 days per week, indicating a high risk of VAD. Knowledge about vitamin A [b (SE) = -0.18 (0.50), \nComponents of food insecurity such as availability, affordability, utilization, and changing food preferences may contribute to the unexpected inverse relationship between knowledge and consumption of vitamin A rich foods. Scaling up biofortified food initiatives, including OFSP, can improve consumption of vitamin A rich foods with effective strategies to comprehensively address consumption barriers such as lack of nutrition education, cooking skills, and storage facilities, as well as low production levels and perceived contamination of biofortified foods.', 'Micronutrient deficiencies are widespread and disproportionately affect women and children in low- and middle-income countries (LMIC). Among various interventions, food fortification and supplementation with micronutrients have been proven to be cost-effective. The aim of the present paper is to review existing literature to assess risks of excessive intake in LMIC to then highlight programmatic changes required to maximise benefits of micronutrient interventions while minimising risks of adverse effects. While very few LMIC have national food consumption surveys that can inform fortification programmes, many more are implementing mandatory fortification programmes. The risks of inadequate micronutrient intakes were common, but risks of excessive intakes were also present for iodine, vitamin A, folic acid and iron. Excessive salt consumption, high concentrations of iodine in ground-water and excessive levels of iodisation were linked with excessive iodine intake. For vitamin A, overlapping interventions were the main risk for excessive intake; whereas for iron, contamination with iron from soil and screw-wares of millers and high iron concentration in drinking-water increased the risk of excessive intake, which could be further exacerbated with fortification. Before implementing micronutrient interventions, adherence to the basic principles of documenting evidence confirming that the deficiency in question exists and that fortification will correct this deficiency is needed. This can be supported with dietary intake assessments and biochemical screening that help diagnose nutrient deficiencies. Targeting micronutrient interventions, although programmatically challenging, should be considered whenever possible. Moreover, closer monitoring of appropriate fortification of foods and overlapping interventions is needed.']"
354_mlvhrma_typhimurium_tr_tandem,0.0025986580215180393,354,7,"['mlvhrma', 'typhimurium', 'tr', 'tandem', 'repeat', '45i', 'mlva', 'serovars', 'loci', 'allelic']","['To assess the distribution of Salmonella 4,[5]:i:- subtypes in the Belgian food chain and compare it to the subtypes associated with human infections, a molecular assessment was initiated. Two hundred fifty-three Salmonella isolates serotyped as 4,[5]:i:- during the period 2008-2011 in Belgium and originating from animal productions, food or human clinical samples were analysed by a specific duplex PCR. One hundred ninety-four isolates (76.7%) fit the profile of a S. Typhimurium monophasic variant as defined by the European Food Safety Authority. The other isolates possessed but did not express the phase II flagellin gene (23.3%). Multiple Locus Variable Number of Tandem Repeats Analysis (MLVA) revealed many but closely related profiles in the fljB-negative S. Typhimurium monophasic variant isolates. Some MLVA types were associated with both human and animal isolates but no unique source of human contamination could be demonstrated.', 'Salmonella enterica serovar Typhimurium (Salmonella Typhimurium) is one of the most important virulent foodborne pathogens in industrialized countries. The ability to type bacterial strains is essential for surveillance, investigation of outbreaks, and epidemiological studies. Multilocus variable number tandem repeat combined with high-resolution melting analysis (MLV-HRMA) is a fast, cost-efficient, and easy sample genotyping method. In this study, MLV-HRMA and multilocus variable number tandem repeat analysis (MLVA) were used to differentiate between the allelic variants in 5 tandem repeat (TR) loci in 117 Salmonella Typhimurium isolates derived from various farms, slaughterhouses, market, and humans in Thailand. Both MLV-HRMA and MLVA analyses resulted in the identification of a total of 43 different genotypes, but slight differences were observed in cluster analysis results between the 2 methods. The unweighted pair-group method with arithmetic mean-based cluster analysis showed the same core clades; some small differences in the placement of sister-clades and subgrouping were observed due to the inability to reliably type the polymorphic STTR3 locus in the MLV-HRMA. The results of this study show that the MLV-HRMA, following the selection of suitable TR loci, is a relatively reliable and rapid screening method capable of differentiating between Salmonella Typhimurium isolates on the basis of allelic diversity at TR loci. As such, MLV-HRMA can be potentially used to investigate and track sources of contamination in order to effectively control Salmonella contamination in the food supply chain.', 'Salmonella enterica serovar Typhimurium (Salmonella Typhimurium) is one of the most important virulent foodborne pathogens in industrialized countries. The ability to type bacterial strains is essential for surveillance, investigation of outbreaks, and epidemiological studies. Multilocus variable number tandem repeat combined with high-resolution melting analysis (MLV-HRMA) is a fast, cost-efficient, and easy sample genotyping method. In this study, MLV-HRMA and multilocus variable number tandem repeat analysis (MLVA) were used to differentiate between the allelic variants in 5 tandem repeat (TR) loci in 117 Salmonella Typhimurium isolates derived from various farms, slaughterhouses, market, and humans in Thailand. Both MLV-HRMA and MLVA analyses resulted in the identification of a total of 43 different genotypes, but slight differences were observed in cluster analysis results between the 2 methods. The unweighted pair-group method with arithmetic mean-based cluster analysis showed the same core clades; some small differences in the placement of sister-clades and subgrouping were observed due to the inability to reliably type the polymorphic STTR3 locus in the MLV-HRMA. The results of this study show that the MLV-HRMA, following the selection of suitable TR loci, is a relatively reliable and rapid screening method capable of differentiating between Salmonella Typhimurium isolates on the basis of allelic diversity at TR loci. As such, MLV-HRMA can be potentially used to investigate and track sources of contamination in order to effectively control Salmonella contamination in the food supply chain.']"
605_cropping_philippi_horticultural_summer,0.0025105421616216776,605,5,"['cropping', 'philippi', 'horticultural', 'summer', 'winter', 'pakhtunkhwa', 'khyber', 'seasons', 'icpaes', 'cape']","['Contamination of the food chain with heavy metals is considered as one of the major environmental pathways of human exposure to metals leading to potential health risks. This study aimed to investigate the concentrations of heavy metals such as copper (Cu), zinc (Zn), chromium (Cr), nickel (Ni), and manganese (Mn) in agricultural soils and food crops (fruit, leaf, and root vegetables), and their associated health risks to the local population in selected southern districts of Khyber Pakhtunkhwa Province, Pakistan. The concentrations of the selected metals in soil varied over a wide range, in the following decreasing order: Mn ', 'The aims of this study were to investigate the extent of heavy metal contamination in the Philippi horticultural area in the Western Cape Province, South Africa. Concentrations of Cd, Cr, Cu, Mn, Ni, Pb and Zn were determined in the irrigation water, soils and vegetables in both winter and summer cropping seasons with an ICP-AES and tested against certified standards. Differences were found in heavy metal concentrations between the winter and summer cropping seasons in the irrigation water, soils and vegetables. Certain heavy metals exceeded the maximum permissible concentrations in the irrigation water, soils and vegetables produced in South Africa. These toxic concentrations were predominantly found in the summer cropping season for the soils and in the crops produced in winter. It is thus suggested that further studies are carried out in the Philippi horticultural area to determine the sources of the heavy metals to try and mitigate the inputs thereof and therefore reduce the amount of heavy metals entering the human food chain.', 'The aims of this study were to investigate the extent of heavy metal contamination in the Philippi horticultural area in the Western Cape Province, South Africa. Concentrations of Cd, Cr, Cu, Mn, Ni, Pb and Zn were determined in the irrigation water, soils and vegetables in both winter and summer cropping seasons with an ICP-AES and tested against certified standards. Differences were found in heavy metal concentrations between the winter and summer cropping seasons in the irrigation water, soils and vegetables. Certain heavy metals exceeded the maximum permissible concentrations in the irrigation water, soils and vegetables produced in South Africa. These toxic concentrations were predominantly found in the summer cropping season for the soils and in the crops produced in winter. It is thus suggested that further studies are carried out in the Philippi horticultural area to determine the sources of the heavy metals to try and mitigate the inputs thereof and therefore reduce the amount of heavy metals entering the human food chain.']"
282_variability_rope_amyloliquefaciens_pan,0.002582180455861788,282,8,"['variability', 'rope', 'amyloliquefaciens', 'pan', 'bread', 'fixed', 'shelflife', 'spoilage', 'encountered', 'strain']","[""This study aims at the characterisation of growth behaviour of three strains of Bacillus amyloliquefaciens, isolated from ropy bread (ATCC8473), wheat grain (ISPA-S109.3) and semolina (ISPA-N9.1) to estimate rope spoilage risk in pan bread during shelf-life using the Sym'Previus tool. Cardinal values and growth/no growth boundaries were determined in broth, while artificial spore inoculations were performed in dough for various pan bread recipes to compare experimental counts with in silico growth simulations. Finally, two storage scenarios were tested to determine the probability to reach a spoilage threshold during bread shelf-life. Similarly to the safety criteria fixed for Listeria monocytogenes contamination in foodstuff complying with EC regulation, a potential rope spoilage threshold was arbitrary fixed at 5 log CFU/g for B. amyloliquefaciens. This study further underlines a higher rope spoilage potential of the ISPA strains as compared to the ATCC strain, thus emphasizing the interest to characterise both wild strains and reference strain to account for biological variability. In conclusion, this study showed that available decision making tools which are largely recognized to predict behaviour of pathogenic strains, shall also be used with spoilage strains to help maintain food quality and extend shelf-life."", 'Quantitative microbiology is used in risk assessment studies, microbial shelf life studies, product development, and experimental design. Realistic prediction is, however, complicated by different sources of variability. The final concentration of microorganisms at the moment of consumption is affected by different sources of variability: variability in the storage times and temperatures, variability in product characteristics, variability in process characteristics, variability in the initial contamination of the raw materials, and last but not least, microbiological variability. This article compares different sources of microbiological variability in growth and inactivation kinetics of a pathogen and a spoiler, namely experimental variability, reproduction variability (within strain variability), strain variability (between strain variability) and variability between individual cells within a population (population heterogeneity). Comparison of the different sources of microbiological variability also allows to prioritize their importance. In addition, the microbiological variability is compared to other variability factors encountered in a model food chain to evaluate the impact of different variability factors on the variability in microbial levels encountered in the final product.', 'Quantitative microbiology is used in risk assessment studies, microbial shelf life studies, product development, and experimental design. Realistic prediction is, however, complicated by different sources of variability. The final concentration of microorganisms at the moment of consumption is affected by different sources of variability: variability in the storage times and temperatures, variability in product characteristics, variability in process characteristics, variability in the initial contamination of the raw materials, and last but not least, microbiological variability. This article compares different sources of microbiological variability in growth and inactivation kinetics of a pathogen and a spoiler, namely experimental variability, reproduction variability (within strain variability), strain variability (between strain variability) and variability between individual cells within a population (population heterogeneity). Comparison of the different sources of microbiological variability also allows to prioritize their importance. In addition, the microbiological variability is compared to other variability factors encountered in a model food chain to evaluate the impact of different variability factors on the variability in microbial levels encountered in the final product.']"
1113_lmf_lmfs_lowmoisture_cfd,0.004032031600460398,1113,2,"['lmf', 'lmfs', 'lowmoisture', 'cfd', 'lwafs', 'semisolid', 'rheological', 'sanitization', 'heat', 'optimum']","['Low-moisture foods have been responsible for a number of salmonellosis outbreaks worldwide over the last few decades, with cross contamination from contaminated equipment being the most predominant source. To date, actions have been focused on stringent hygienic practices prior to production, namely periodical sanitization of the processing equipment and lines. Not only does optimum sanitization require in-depth knowledge on the type and source of contaminants, but also the heat resistance of microorganisms is unique and often dependent on the heat transfer characteristics of the low-moisture foods. Rheological properties, including viscosity, degree of turbulence, and flow characteristics (for example, Newtonian or non-Newtonian) of both liquid and semisolid foods are critical factors impacting the flow behavior that consequently interferes heat transfer and related control elements. The demand for progressively more accurate prediction of complex fluid phenomena has called for the employment of computational fluid dynamics (CFD) to model mass and heat transfer during processing of various food products, ranging from drying to baking. With the aim of improving the quality and safety of low-moisture foods, this article critically reviewed the published literature concerning microbial survival in semisolid low-moisture foods, including chocolate, honey, and peanut butter. Critical rheological properties and state-of-the-art CFD application relevant to quality production of those products were also addressed. It is anticipated that adequate prediction of specific transport properties during optimum sanitization through CFD could be used to solve current and future food safety challenges.', 'Large, renowned outbreaks associated with low-moisture foods (LMFs) bring to light some of the potential, inherent risks that accompany foods with long shelf lives if pathogen contamination occurs. Subsequently, in 2013, Beuchat et al. (2013) noted the increased concern regarding these foods, specifically noting examples of persistence and resistance of pathogens in low-water activity foods (LWAFs), prevalence of pathogens in LWAF processing environments, and sources of and preventive measures for contamination of LWAFs. For the last decade, the body of knowledge related to LMF safety has exponentially expanded. This growing field and interest in LMF safety have led researchers to delve into survival and persistence studies, revealing that some foodborne pathogens can survive in LWAFs for months to years. Research has also uncovered many complications of working with foodborne pathogens in desiccated states, such as inoculation methods and molecular mechanisms that can impact pathogen survival and persistence. Moreover, outbreaks, recalls, and developments in LMF safety research have created a cascading feedback loop of pushing the field forward, which has also led to increased attention on how industry can improve LMF safety and raise safety standards. Scientists across academia, government agencies, and industry have partnered to develop and evaluate innovate thermal and nonthermal technologies to use on LMFs, which are described in the presented review. The objective of this review was to describe aspects of the extensive progress made by researchers and industry members in LMF safety, including lessons-learned about outbreaks and recalls, expansion of knowledge base about pathogens that contaminate LMFs, and mitigation strategies currently employed or in development to reduce food safety risks associated with LMFs.']"
1130_clavata_dairy_casecase_saprochaete,0.004032031600460398,1130,2,"['clavata', 'dairy', 'casecase', 'saprochaete', 'similis', 'clade', 'cladosporium', 'spoiled', 'transmit', 'nationwide']","['Few studies have investigated the diversity of spoilage fungi from the dairy production chain in Brazil, despite their importance as spoilage microorganisms. In the present study, 109 filamentous fungi were isolated from various spoiled dairy products and dairy production environments. The isolates were identified through sequencing of the internal transcribed spacer (ITS) region. In spoiled products, Penicillium and Cladosporium were the most frequent genera of filamentous fungi and were also present in the dairy environment, indicating that they may represent a primary source of contamination. For dairy production environments, the most frequent genera were Cladosporium, Penicillium, Aspergillus, and Nigrospora. Four species (Hypoxylon griseobrunneum, Rhinocladiella similis, Coniochaeta rosae, and Paecilomyces maximus) were identified for the first time in dairy products or in dairy production environment. Phytopathogenic genera were also detected, such as Montagnula, Clonostachys, and Riopa. One species isolated from the dairy production environment is classified as the pathogenic fungi, R. similis. Regarding the phylogeny, 14 different families were observed and most of the fungi belong to the Ascomycota phylum. The understanding of fungal biodiversity in dairy products and environment can support the development of conservation strategies to control food spoilage. This includes the suitable use of preservatives in dairy products, as well as the application of specific cleaning and sanitizing protocols designed for a specific group of target microorganisms.', 'Rapidly fatal cases of invasive fungal infections due to a fungus later identified as Saprochaete clavata were reported in France in May 2012. The objectives of this study were to determine the clonal relatedness of the isolates and to investigate possible sources of contamination. A nationwide alert was launched to collect cases. Molecular identification methods, whole-genome sequencing (WGS), and clone-specific genotyping were used to analyze recent and historical isolates, and a case-case study was performed. Isolates from thirty cases (26 fungemias, 22 associated deaths at day 30) were collected between September 2011 and October 2012. Eighteen cases occurred within 8 weeks (outbreak) in 10 health care facilities, suggesting a common source of contamination, with potential secondary cases. Phylogenetic analysis identified one clade (clade A), which accounted for 16/18 outbreak cases. Results of microbiological investigations of environmental, drug, or food sources were negative. Analysis of exposures pointed to a medical device used for storage and infusion of blood products, but no fungal contamination was detected in the unused devices. Molecular identification of isolates from previous studies demonstrated that S. clavata can be found in dairy products and has already been involved in monocentric outbreaks in hematology wards. The possibility that S. clavata may transmit through contaminated medical devices or can be associated with dairy products as seen in previous European outbreaks is highly relevant for the management of future outbreaks due to this newly recognized pathogen. This report also underlines further the potential of WGS for investigation of outbreaks due to uncommon fungal pathogens.\nSeveral cases of rapidly fatal infections due to the fungus Saprochaete clavata were reported in France within a short period of time in three health care facilities, suggesting a common source of contamination. A nationwide alert collected 30 cases over 1 year, including an outbreak of 18 cases over 8 weeks. Whole-genome sequencing (WGS) was used to analyze recent and historical isolates and to design a clade-specific genotyping method that uncovered a clone associated with the outbreak, thus allowing a case-case study to analyze the risk factors associated with infection by the clone. The possibility that S. clavata may transmit through contaminated medical devices or can be associated with dairy products as seen in previous European outbreaks is highly relevant for the management of future outbreaks due to this newly recognized pathogen.']"
872_ed_alkylphenols_longchain_octylphenols,0.0036437246963562757,872,3,"['ed', 'alkylphenols', 'longchain', 'octylphenols', 'toxicantnutrient', 'thyroidtargeting', 'eg', 'endocrine', 'estrogenlike', 'nonylphenols']","['Long-chain alkylphenols, such as nonylphenols and octylphenols, are man-made compounds with estrogen-like activity and considered to be endocrine disputing chemicals. They are known to influence sexual development and reproduction of humans and other animals, therefore cause health and ecological concerns.\nThis review aims to identify the key findings presented in recent scientific literature with respect to the presence of long-chain alkylphenols in food, intake by different populations and describe the metabolism by human and the mechanisms to disrupt the estrogenic activity of nonylphenols and octylphenols by bacteria and fungi in the environment.\nThe current knowledge related to the physicochemical properties, source, occurrence, toxic effects, level in foods, human intake, elimination and metabolism of long-chain alkylphenols was summarized.\nLong-chain alkylphenols have been detected in soil, surface and ground water, sediments, wastewater effluent, air and in most foods. The daily human intake of 4-nonylphenols and 4-octylphenols has been compared among different population. A comprehensive summary of the major degradation pathways and mechanism in bacteria, fungi, yeasts and vertebrates was described.\nThe findings of this review revealed the wide distribution of long-chain alkylphenols in various environments and contamination in foods. Therefore, further investigation of long-term exposure is necessary to comprehensively evaluate the potential health risks to humans. The diverse biodegradation mechanisms can be used in the removal of these compounds before entering food chains. The review provides indication as to how it might be possible to reduce the adverse effects on human health from estrogen-like long-chain alkylphenols.', ""Endocrine disrupters (ED) are a heterogeneous group of chemicals including persistent contaminants, pesticides, as well as compounds present in consumer products and natural substances. For most ED, the food chain is a current major exposure route for the general population. ED can enter the food chain through the living environment (e.g., feeds, fertilizers) of food-producing organisms, be directly employed in food production (e.g., pesticides) or be released from food contact materials (such as bisphenol A or phthalates); in addition, the endocrine disruption potential of some natural compounds in edible plants, including the so-called phytoestrogens, should not be overlooked. An exposure assessment has to consider the specific liability of food commodities to contamination with specific ED (e.g., polychlorinated and polybrominated chemicals in lipid-rich foods). The paper discusses the main toxicological research issues in order to support the risk assessment of ED in food chains, including: the potential for additive, 'cocktail' effects (as from multiple pesticide residues); the long-term effects on target body systems (e.g., reproductive, nervous) elicited by exposure during prenatal as well as postnatal life stage windows, and toxicant/nutrient interactions (e.g., thyroid-targeting ED and iodine status). Food safety systems should exploit the available knowledge to improve prevention of long-term risks along the whole food chain."", ""Endocrine disrupters (ED) are a heterogeneous group of chemicals including persistent contaminants, pesticides, as well as compounds present in consumer products and natural substances. For most ED, the food chain is a current major exposure route for the general population. ED can enter the food chain through the living environment (e.g., feeds, fertilizers) of food-producing organisms, be directly employed in food production (e.g., pesticides) or be released from food contact materials (such as bisphenol A or phthalates); in addition, the endocrine disruption potential of some natural compounds in edible plants, including the so-called phytoestrogens, should not be overlooked. An exposure assessment has to consider the specific liability of food commodities to contamination with specific ED (e.g., polychlorinated and polybrominated chemicals in lipid-rich foods). The paper discusses the main toxicological research issues in order to support the risk assessment of ED in food chains, including: the potential for additive, 'cocktail' effects (as from multiple pesticide residues); the long-term effects on target body systems (e.g., reproductive, nervous) elicited by exposure during prenatal as well as postnatal life stage windows, and toxicant/nutrient interactions (e.g., thyroid-targeting ED and iodine status). Food safety systems should exploit the available knowledge to improve prevention of long-term risks along the whole food chain.""]"
403_sporulation_differentiation_nprrdependent_necrotrophic,0.0034326650457880423,403,6,"['sporulation', 'differentiation', 'nprrdependent', 'necrotrophic', 'thuringiensis', 'niches', 'bacillus', 'cells', 'vegetative', 'fa']","['The spore-forming bacterium Bacillus thuringiensis is an efficient biofilm producer, responsible for persistent contamination of industrial food processing systems. B. thuringiensis biofilms are highly heterogeneous bacterial structures in which three distinct cell types controlled by quorum sensing regulators were identified: PlcR-controlled virulent cells, NprR-dependent necrotrophic cells and cells committed to sporulation, a differentiation process controlled by Rap phosphatases and Spo0A-P. Interestingly, a cell lineage study revealed that, in LB medium or in insect larvae, only necrotrophic cells became spores. Here we analyzed cellular differentiation undertaken by cells growing in biofilm in a medium optimized for sporulation. No virulent cells were identified; surprisingly, two distinct routes could lead to differentiation as a spore in this growth condition: the NprR-dependent route, followed by the majority of cells, and the newly identified NprR-independent route, which is followed by 20% of sporulating cells.', 'Spore-forming bacteria are able to grow under a wide range of environmental conditions, to form biofilms and to differentiate into resistant forms: spores. This resistant form allows their dissemination in the environment; consequently, they may contaminate raw materials. Sporulation can occur all along the food chain, in raw materials, but also in food processes, leading to an increase in food contamination. However, the problem of sporulation during food processing is poorly addressed and sporulation niches are difficult to identify from the farm to the fork. Sporulation is a survival strategy. Some environmental factors are required to trigger this differentiation process and others act by modulating it. The efficiency of sporulation is the result of the combined effects of these two types of factors on vegetative cell metabolism. This paper aims to explain and help identify sporulation niches in the food chain, based on features of spore-former physiology.', 'Spore-forming bacteria are able to grow under a wide range of environmental conditions, to form biofilms and to differentiate into resistant forms: spores. This resistant form allows their dissemination in the environment; consequently, they may contaminate raw materials. Sporulation can occur all along the food chain, in raw materials, but also in food processes, leading to an increase in food contamination. However, the problem of sporulation during food processing is poorly addressed and sporulation niches are difficult to identify from the farm to the fork. Sporulation is a survival strategy. Some environmental factors are required to trigger this differentiation process and others act by modulating it. The efficiency of sporulation is the result of the combined effects of these two types of factors on vegetative cell metabolism. This paper aims to explain and help identify sporulation niches in the food chain, based on features of spore-former physiology.']"
593_pastrami_jerky_beef_grinding,0.0027248140552520368,593,5,"['pastrami', 'jerky', 'beef', 'grinding', 'trims', 'fillets', 'tvc', 'noninoculated', 'chilled', 'multiresistant']","['Intense manipulation during beef jerky production increases the possibility of contamination with pathogenic microorganisms. This study evaluated the contamination by thermotolerant coliforms, Escherichia coli and Salmonella spp., on processing surfaces and raw materials during beef jerky production, as well as in the final product. Thermotolerant coliforms were found on all surfaces tested and in the raw material. Escherichia coli was identified in 6.7% of the surface samples, while Salmonella spp. was found in 3.3% of the surface samples and 8.6% of raw material samples. Virulence genes were detected in Salmonella spp. isolates. One Salmonella spp. isolate was resistant to sulfonamide, while one E. coli isolate was multiresistant, including the presence of resistance genes sul2, strA, strB, tetA and tetB. The presence of coliforms demonstrates failings in hygienic-sanitary procedures. The presence of pathogenic microorganisms causing foodborne diseases in the production line indicates persistent contamination in the production plant. Although the drying process applied to beef jerky should guarantee the safety of the final product, the presence of multiresistant pathogenic microorganisms, presenting virulence genes, should be a matter of concern. Because beef jerky is a ready-to-eat product, a failure in the production process may cause such microorganisms to pose a public health risk.', 'The aim of this study is to trace the possible relations between the hygienic status of slicing utensils and the microbiological quality of pastrami.\nA total of 75 pastrami retail markets were visited in Kayseri, Turkey, where the pastrami (a ready-to-eat meat product) is commonly produced and consumed. Sliced pastrami, the cutting board and knife surface swabs were collected from each pastrami retail point to trace possible sources of contamination.\nSamples were analysed for the presence of total viable counts (TVC), total coliforms, Escherichia coli, members of Enterobacteriaceae, Staphylococcus aureus and Listeria spp. In addition, pastrami samples were analysed for sulphite-reducing Clostridium spp. and Toxoplasma gondii.\nWhen compared with the target values of related literatures, a total of 6 (8%) pastrami samples were found unsatisfactory as a result of TVC (5.3%), Enterobacteriaceae (5.3%), E. coli (2.6%), S. aureus (2.6%), Listeria spp. (2.6%) and Listeria monocytogenes (1.3%) contaminations. No T. gondii positivity was observed among the pastrami samples. None of the cutting board and knife surface swabs were found to harbour TVC level >10\nMore emphasis needs to be placed for training of food handlers and to apply good hygienic practices at the point of pastrami sale. The conditions at retail points must be monitored and inspections should be tightened to protect public health.', 'Undercooked ground beef is regularly implicated in food-borne outbreaks involving pathogenic Shiga toxin-producing Escherichia coli. The dispersion of bacteria during mixing processes is of major concern for quantitative microbiological risk assessment since clustering will influence the number of bacteria the consumers might get exposed to as well as the performance of sampling plans used to detect contaminated ground beef batches. In this study, batches of 25kg of ground beef were manufactured according to a process mimicking an industrial-scale grinding with three successive steps: primary grinding, mixing and final grinding. The ground beef batches were made with 100% of chilled trims or with 2/3 of chilled trims and 1/3 of frozen trims. Prior grinding, one beef trim was contaminated with approximately 10']"
